No,Name,Team,Position,Age,Throws,Salary
119,Cade Horton,CHC,SP,20,,4450000
120,Daniel Bard,COL,RP,37,R,4400000
121,Brooks Raley,TB,RP,34,L,4250000
122,Drew Smyly,CHC,SP,33,L,4250000
123,Connor Godwin,LAD,P,20,,4200000
124,Johnny Cueto,CHW,SP,36,R,4200000
125,Alex Colome,COL,RP,33,R,4100000
126,Martin Perez,TEX,SP,31,L,4000000
127,Dylan Bundy,MIN,SP,29,R,4000000
128,Craig Stammen,SD,RP,38,R,4000000
129,Chad Green,NYY,RP,31,R,4000000
130,Collin McHugh,ATL,RP,35,R,4000000
131,Gabriel Hughes,COL,SP,20,,4000000
132,Seth Lugo,NYM,RP,32,R,3925000
133,Trevor Williams,NYM,RP,30,R,3900000
134,Dylan Lesko,SD,SP,18,,3900000
135,Ryan Yarbrough,TB,SP,30,L,3850000
136,Sandy Alcantara,MIA,SP,26,R,3800000
137,Ross Stripling,TOR,SP,32,R,3790000
138,Archie Bradley,LAA,RP,29,R,3750000
139,Tommy Kahnle,LAD,RP,32,R,3725000
140,Brock Porter,TEX,SP,19,,3700000
141,Luke Jackson,ATL,RP,30,R,3600000
142,Brandon Barriera,TOR,SP,18,,3597500
143,Mychal Givens,NYM,RP,32,R,3500000
144,David Phelps,TOR,RP,35,R,3500000
145,Chris Martin,LAD,RP,36,R,3250000
146,Luis Garcia,SD,RP,35,R,3250000
147,Cooper Hjerpe,STL,SP,21,,3182200
148,Kenta Maeda,MIN,SP,34,R,3125000
149,Chris Flexen,SEA,RP,28,R,3050000
150,Carlos Estevez,COL,RP/CL,29,R,3025000
151,Jackson Ferris,CHC,SP,18,,3005000
152,Matthew Strahm,BOS,RP,30,L,3000000
153,Framber Valdez,HOU,SP,28,L,3000000
154,Danny Duffy,LAD,RP,33,L,3000000
155,Robby Snelling,SD,SP,18,,3000000
156,Pierce Johnson,SD,RP,31,R,3000000
157,Lou Trivino,NYY,RP,30,R,3000000
158,Dylan Floro,MIA,RP,31,R,3000000
159,Vincent Velasquez,CHW,RP,30,R,3000000
160,Chad Kuhl,COL,SP,29,R,3000000
161,Anthony Bass,TOR,RP,34,R,3000000
162,John Means,BAL,SP,29,L,2950000
163,Luke Weaver,KC,RP,28,R,2875000
